SRA_accession_code	GEO_accession_code	pubmed_id	pmcid
SRP066619	GSE75354	26823433	PMC4868069
SRP067400	GSE76023	27912097	PMC5137794
GSE46545	E-GEOD-46545	24389103	
SRP106621			
SRP002245	GSE21227	20404130	PMC2892091
SRP076106	GSE82240		
SRP105943			
SRP032833	GSE52248	24735754	PMC4074881
SRP062188	GSE71862	26415882	PMC4587679
SRP123191			
SRP042647		23267107	PMC3549127
SRP057498			
SRP067516			
SRP168392	GSE122403		
SRP018228	GSE43727	23613738	PMC3629204
SRP105617			
SRP063414	GSE72761	27287799	PMC4958331
SRP047251	GSE61515	25873175	PMC4398915
SRP111110			
SRP132513			
SRP010280	GSE34995	22574288	PMC3345519
SRP047252	GSE61517	29976658	PMC6096831
ERP110052			
SRP166095	GSE121476	30395643	PMC6237423
SRP033206	GSE52575	25223788	PMC4191393
SRP050533	GSE63840	25601205	PMC4325230
SRP070439	GSE78003	28645917	PMC5538766
SRP009094	GSE32162	24107992	PMC3870304
ERP107424			
SRP049021	GSE62483	27292648	PMC4920892
SRP038997	GSE55405		
SRP072693	GSE79782	27293492	PMC4902972
SRP048577	GSE61966	25803486	PMC4407272
ERP113595			
SRP016635	GSE41797	23324257	PMC3556317
ERP015769			
SRP118609			
ERP105867			
SRP068420	GSE76840	26898884	PMC4764878
SRP144588	GSE114037	31829938	PMC6949028
SRP032455	GSE51984	26834243	
SRP031459	GSE51359	24358187	PMC3865085
SRP026648			
SRP051606	GSE64558	26769127	PMC4801945
SRP117329	GSE103747	29216416	
SRP043273	GSE58507	25524025	PMC4284803
SRP061835	GSE71551	26671595	PMC4681058
SRP066992	GSE75699	29890143	PMC7092877
ERP114425			
ERP009896			
SRP051023	GSE64032	27799565	PMC5135356
SRP074463	GSE81181	27076172	
SRP173894	GSE124089		
SRP124849			
SRP050149			
SRP130014			
SRP006970	GSE29738	22467206	PMC3401465
ERP013760			
DRP004500			
SRP170939	GSE123000	31015341	PMC6595945
SRP073494	GSE80436		
SRP065945	GSE74793	27655842	PMC5134975
SRP043221	GSE56787	25789155	PMC4364343
SRP073433	GSE80375	29050947	PMC5704088
ERP109222			
SRP006908			
SRP070582	GSE78128	27272654	PMC4899869
SRP113286	GSE101734	28861103	PMC5559499
SRP075305			
