pmc_ID,accession,real_introducer
PMC6625065,GSE128914,PMC6625065
PMC4372517,GSE58463,NaN
PMC3091707,GSE24156,PMC3091707
PMC4822960,GSE73330,PMC4822960
PMC7403583,GSE147521,NaN
PMC3817159,GSE45990,PMC3817159
PMC3817159,GSE46050,PMC3817159
PMC4283999,GSE56833,PMC4283999
PMC3219601,GSE31151,PMC3483423
PMC4931989,GSE52744,PMC4215647
PMC4335692,GSE47055,PMC4335692
PMC4839774,GSE75276,PMC4839774
PMC3312346,GSE31501,PMC3312346
PMC3312346,GSE31505,PMC3312346
PMC3312346,GSE31508,PMC3312346
PMC3312346,GSE31514,PMC3312346
PMC3312346,GSE31516,PMC3312346
PMC3312346,GSE31518,PMC3312346
PMC3312346,GSE31499,PMC3312346
PMC3312346,GSE31469,PMC3312346
PMC3312346,GSE31474,PMC3312346
PMC4476686,GSE68148,PMC4476686
PMC2921407,GSM534862,PMC2921407
PMC2921407,GSM534971,PMC2921407
PMC3670871,GSE41726,PMC3670871
PMC6679941,GSE131883,PMC6679941
PMC5832932,GSE106311,PMC5832932
